ProviderID,Name,Address,City,State,Zipcode,County,Type,PatientVolume,Rating,Emergency Department Volume (EDV),LeftBeforeBeingSeen,Percent_LeftBeforeBeingSeen,DoortoDiagnosis,Time_DoortoDiagnosis,Time_DoortoAdmittedtoHospital,Time_DoortoDischarge,Percent_StrokeCTScanwithin45mins ,Time_HeartAttackECG,Time_BrokenBonesPainMedication
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,"HOUSTON COUNTY, AL",Government,High,3,High,5 Percent or More,6,Delayed,40,255,165,,,80
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,"MARSHALL COUNTY, AL",Government,Very High,2,Very High,1 Percent to 4 Percent,2,Some Delay,22,246,114,82,14,69
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,"LAUDERDALE COUNTY, AL",Government,High,2,High,1 Percent to 4 Percent,2,No Delay,11,220,136,,,68
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,"COVINGTON COUNTY, AL",Non-Profit,Low,2,Low,1 Percent to 4 Percent,4,Some Delay,39,138,117,,6,79
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,"CRENSHAW COUNTY, AL",For-Profit,Low,4,Low,Zero Percent,0,No Delay,18,200,92,,4,42
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,"JEFFERSON COUNTY, AL",Non-Profit,High,3,High,1 Percent to 4 Percent,3,Delayed,52,290,148,,,91
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,"DE KALB COUNTY, AL",For-Profit,Medium,3,Medium,1 Percent to 4 Percent,3,Some Delay,29,215,144,,1,56
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,"SHELBY COUNTY, AL",Non-Profit,High,3,High,1 Percent to 4 Percent,1,No Delay,14,268,184,,,60
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,"JEFFERSON COUNTY, AL",Non-Profit,Low,,Low,1 Percent to 4 Percent,1,Some Delay,35,180,110,,,
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,"COLBERT COUNTY, AL",Government,High,3,High,1 Percent to 4 Percent,1,Some Delay,28,191,116,73,2,70
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,"DALE COUNTY, AL",Government,Low,4,Low,1 Percent to 4 Percent,2,Some Delay,25,201,98,,7,60
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,"CHEROKEE COUNTY, AL",Non-Profit,Low,4,Low,1 Percent to 4 Percent,1,No Delay,13,233,95,,,52
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,"MONTGOMERY COUNTY, AL",Government,Low,3,Low,1 Percent to 4 Percent,2,Some Delay,31,439,174,69,,58
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,"MONTGOMERY COUNTY, AL",Non-Profit,High,2,High,1 Percent to 4 Percent,3,Some Delay,36,425,128,,,46
10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,"LEE COUNTY, AL",Government,Very High,3,Very High,5 Percent or More,5,Delayed,43,241,147,35,5,79
10032,TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,AL,36278,"RANDOLPH COUNTY, AL",Government,Low,4,Low,1 Percent to 4 Percent,1,Some Delay,25,236,120,,5,13
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,"JEFFERSON COUNTY, AL",Government,Very High,2,Very High,5 Percent or More,5,Delayed,46,420,217,,,63
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,"ELMORE COUNTY, AL",Non-Profit,Low,4,Low,1 Percent to 4 Percent,3,Some Delay,30,260,115,,22,71
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,"CULLMAN COUNTY, AL",Government,High,2,High,1 Percent to 4 Percent,2,Some Delay,31,232,136,95,7,63
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,"COVINGTON COUNTY, AL",For-Profit,Medium,3,Medium,1 Percent to 4 Percent,1,No Delay,3,180,84,,1,20
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,"CALHOUN COUNTY, AL",For-Profit,Medium,3,Medium,1 Percent to 4 Percent,1,Some Delay,24,217,105,,,81
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,"MADISON COUNTY, AL",Government,Very High,2,Very High,1 Percent to 4 Percent,1,Some Delay,33,340,171,,,55
